action,action_replica_0,action_replica_1,action_replica_2,action_replica_3,action_value,advantage_std,approx_kl,balance_penalty,buffer_progress,buffer_size,clipfrac,data_type,datetime,delta_latency,delta_throughput,entropy,explained_var,latency,log_probability,lr,mode,pg_grad_norm,pi_loss,queue_length,queue_size,replica_id,return_mean,reward,reward_max,reward_mean,reward_min,reward_std,rollout_length,selected_replica,step,throughput,timestamp,value_estimate,value_mean,vf_loss
2,,,,,2,,,0.0,,,,training,2025-09-17T20:13:40.557685,0.0,0.0,,,0.0,-1.3848505020141602,,delta,,,0,0,2,,0.0,,,,,,2,0,0.0,1758154420.5576699,-1.3390510082244873,,
1,,,,,1,,,0.017241379310344827,,,,training,2025-09-17T20:13:40.572108,0.0,0.0,,,0.0,-1.3773380517959595,,delta,,,0,0,1,,0.0,,,,,,1,1,0.0,1758154420.572107,-1.9450076818466187,,
3,,,,,3,,,0.017376077586206896,,,,training,2025-09-17T20:13:40.611269,0.0,0.0,,,0.0,-1.3850826025009155,,delta,,,0,0,3,,0.0,,,,,,3,2,0.0,1758154420.6112561,-1.5189857482910156,,
3,,,,,3,,,0.017376077586206896,,,,training,2025-09-17T20:13:40.703056,0.0,0.0,,,0.0,-1.3835424184799194,,delta,,,0,0,3,,0.0,,,,,,3,3,0.0,1758154420.7030542,-1.5424203872680664,,
3,,,,,3,,,0.03542564655172414,,,,training,2025-09-17T20:13:41.190165,0.0,0.0,,,0.0,-1.3818726539611816,,delta,,,0,0,3,,0.0,,,,,,3,4,0.0,1758154421.190163,-1.55777907371521,,
3,,,,,3,,,0.05374461206896552,,,,training,2025-09-17T20:13:41.574240,0.0,0.0,,,0.0,-1.3800898790359497,,delta,,,0,0,3,,0.0,,,,,,3,5,0.0,1758154421.574238,-1.450920820236206,,
0,,,,,0,,,0.07367995689655173,,,,training,2025-09-17T20:13:42.354051,0.0,0.0,,,0.0,-1.3906710147857666,,delta,,,0,0,0,,0.0,,,,,,0,6,0.0,1758154422.354049,-1.3157234191894531,,
0,,,,,0,,,0.0564385775862069,,,,training,2025-09-17T20:13:42.388415,0.0,0.0,,,0.0,-1.3894962072372437,,delta,,,0,0,0,,0.0,,,,,,0,7,0.0,1758154422.388414,-1.5042189359664917,,
1,,,,,1,,,0.0546875,,,,training,2025-09-17T20:13:42.585656,0.0,0.0,,,0.0,-1.3766428232192993,,delta,,,0,0,1,,0.0,,,,,,1,8,0.0,1758154422.585653,-1.5933568477630615,,
3,,,,,3,,,0.05482219827586207,,,,training,2025-09-17T20:13:42.602386,0.0,0.0,,,0.0,-1.3847568035125732,,delta,,,0,0,3,,0.0,,,,,,3,9,0.0,1758154422.6023839,-1.4962399005889893,,
0,,,,,0,,,0.07192887931034483,,,,training,2025-09-17T20:13:42.679015,0.0,0.0,,,0.0,-1.3857592344284058,,delta,,,0,0,0,,0.0,,,,,,0,10,0.0,1758154422.679013,-1.2291531562805176,,
3,,,,,3,,,0.07273706896551724,,,,training,2025-09-17T20:13:42.980215,0.0,0.0,,,0.0,-1.3869664669036865,,delta,,,0,0,3,,0.0,,,,,,3,11,0.0,1758154422.980213,-1.1448028087615967,,
2,,,,,2,,,0.08997844827586207,,,,training,2025-09-17T20:13:42.994389,0.0,0.0,,,0.0,-1.3996573686599731,,delta,,,0,0,2,,0.0,,,,,,2,12,0.0,1758154422.9943879,-1.0189430713653564,,
1,,,,,1,,,0.07287176724137931,,,,training,2025-09-17T20:13:43.065840,0.0,0.0,,,0.0,-1.3720951080322266,,delta,,,0,0,1,,0.0,,,,,,1,13,0.0,1758154423.065838,-1.0098800659179688,,
